StationID,Latitude,Longitude,Title,TotalCapacity_kW,StationType,Bands
236,55.852824,-4.221617,,132.0,Fast site,Fast (8–49kW)
237,55.894544,-4.352258,,132.0,Fast site,Fast (8–49kW)
238,50.35234600173561,-4.512442811943714,,132.0,Fast site,Fast (8–49kW)
239,51.714625,-1.223024,,132.0,Fast site,Fast (8–49kW)
240,51.2651757716132,-1.0858429160883816,,132.0,Fast site,Fast (8–49kW)
241,53.471442,-2.294555,,132.0,Fast site,Fast (8–49kW)
242,50.733452,-3.479307,,132.0,Fast site,Fast (8–49kW)
243,51.453665,-0.971595,,132.0,Fast site,Fast (8–49kW)
244,51.453665,-0.971595,,132.0,Fast site,Fast (8–49kW)
245,51.379519,-0.09731,,132.0,Fast site,Slow (3–8kW)
246,51.498604,-0.018876,,132.0,Fast site,Slow (3–8kW)
247,56.497624,-2.715425,,132.0,Fast site,Fast (8–49kW)
248,55.768053,-4.223646,,132.0,Fast site,Fast (8–49kW)
249,53.760738,-2.695657,,132.0,Fast site,Fast (8–49kW)
250,56.397223127615,-3.43045020370482,,132.0,Fast site,Fast (8–49kW)
251,50.907911533818144,-1.4094017782451829,,132.0,Fast site,Fast (8–49kW)
252,50.91175502694605,-1.405251335524781,,132.0,Fast site,Fast (8–49kW)
253,50.9107673689543,-1.40731852225952,,132.0,Fast site,Fast (8–49kW)
254,50.90534164101445,-1.408563067242426,,132.0,Fast site,Fast (8–49kW)
255,50.90114528033703,-1.4024369790507762,,132.0,Fast site,Fast (8–49kW)
256,52.70545,-2.42423,,132.0,Fast site,Fast (8–49kW)
257,51.488056,-0.212158,,132.0,Fast site,Fast (8–49kW)
258,51.50782,-2.553816,,132.0,Fast site,Fast (8–49kW)
259,52.82219756745015,-1.3102322731415297,,132.0,Fast site,Fast (8–49kW)
260,53.5927846357101,-0.990987014508056,,132.0,Fast site,Fast (8–49kW)
261,51.4930757816198,0.269918047687514,,132.0,Fast site,Fast (8–49kW)
262,53.3590503370855,-2.50382635382174,,132.0,Fast site,Fast (8–49kW)
263,50.8845551,-1.28358200000002,,132.0,Fast site,Fast (8–49kW)
264,55.4995171,-4.5916704,,132.0,Fast site,Fast (8–49kW)
265,50.724654,-3.524302,,132.0,Fast site,Fast (8–49kW)
266,51.9474478658878,-0.503191591540491,,132.0,Fast site,Fast (8–49kW)
267,51.9483472361216,-0.500595213214075,,132.0,Fast site,Fast (8–49kW)
268,50.521714,-4.823517,,132.0,Fast site,Fast (8–49kW)
