RowID,StationID,Latitude,Longitude,Capacity_kW,Quantity,Level_OCM,DfT_Level
5529,279435,53.202909,-0.582676,80.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5530,279435,53.202909,-0.582676,180.0,1,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
5531,279435,53.202909,-0.582676,180.0,1,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
5532,279435,53.202909,-0.582676,180.0,1,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
5533,279435,53.202909,-0.582676,180.0,1,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
5534,279431,54.36417512,-3.06676276,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5535,279431,54.36417512,-3.06676276,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5536,279428,53.538555,-0.042987,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5537,279428,53.538555,-0.042987,75.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5538,279428,53.538555,-0.042987,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5539,279428,53.538555,-0.042987,75.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5540,279428,53.538555,-0.042987,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5541,279428,53.538555,-0.042987,75.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5542,279427,51.760677,-0.473739,60.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5543,279427,51.760677,-0.473739,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5544,279427,51.760677,-0.473739,60.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5545,279427,51.760677,-0.473739,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5546,279427,51.760677,-0.473739,60.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5547,279427,51.760677,-0.473739,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5548,279426,52.01649,-0.717807,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5549,279426,52.01649,-0.717807,75.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5550,279426,52.01649,-0.717807,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5551,279426,52.01649,-0.717807,75.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5552,279426,52.01649,-0.717807,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5553,279426,52.01649,-0.717807,75.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5554,279347,52.91459034649901,-1.4778584202661023,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5555,279347,52.91459034649901,-1.4778584202661023,7.0,2,Level 2 : Medium (Over 2kW),Slow (3–8kW)
