StationID,Latitude,Longitude,Title,TotalCapacity_kW,StationType,Bands,Below 3kW,Fast (8–49kW),Rapid (50–149kW),Slow (3–8kW),Ultra-rapid (150kW+)
308472,52.236943,0.7242619034876157,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
305603,51.108083183162194,-2.4467772767631573,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
305401,50.92457294642958,-1.3200668798360766,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
300441,52.68096232504838,-1.804712961470833,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
300440,53.48119787264733,-2.6262127497231806,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
295964,53.2996235,-2.970902498,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
295962,53.3971607,-2.20062986,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
290545,51.230651002121306,-2.328400144491866,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
289880,51.23277399246837,-2.31986876356774,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
289672,51.559713824304225,-1.7721680723045665,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
287020,52.8008,0.5454,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
286857,52.19,0.9954,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
286856,52.189,0.9956,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
286855,52.1865,0.9987,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
279923,51.73023502423831,-0.31103108172132465,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
279874,54.09109967140057,-0.17886116528177354,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
274173,50.813306710593224,-4.25750536942769,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
273740,51.8668923,-2.206875946,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
267091,53.162546625469915,-2.6539949413684427,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
259825,51.38579047267572,-2.344342914351647,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
256761,52.5538,-1.73399,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
214812,55.197227,-6.633203,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
214807,55.012805,-7.313715,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
214799,54.61513637147459,-5.89892167461403,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
214797,54.6130606793281,-5.901966030342209,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
211340,51.23755455476558,-0.5731981484967719,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
209799,51.53653503899187,-0.9054503398690485,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
195442,52.92582659343222,-1.1906245554380348,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
195225,51.55621,-0.777072,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
194505,54.128537153944336,-1.5186495906534674,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
193933,50.8725176060647,0.0,0.0,132.0,Fast site,Fast (8–49kW),0.0,132.0,0.0,0.0,0.0
