ConnectorID,StationID,Latitude,Longitude,Power_kW,DfT_Band,Level,ConnectionType,CurrentType
conn_18326,5806,53.367547,-1.497893,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_18324,24051,53.367908,-2.722955,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_18325,24051,53.367908,-2.722955,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_18323,24051,53.367908,-2.722955,43.0,Fast (8–49kW),Level 3:  High (Over 40kW),,
conn_18321,7274,53.370453,-1.211895,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18322,7274,53.370453,-1.211895,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18320,5805,53.370721,-1.468034,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_18319,11186,53.371448,-2.724386,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18318,17993,53.376989,-2.955035,3.7,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18317,17992,53.377049,-2.953993,3.7,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18316,17991,53.377129,-2.953105,3.7,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18315,17990,53.377557,-2.953387,3.7,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18314,17989,53.377805,-2.951688,3.7,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18313,5804,53.378163,-1.484386,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_18312,5803,53.378259,-1.502119,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_18311,17988,53.378695,-2.95268,3.7,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18310,17987,53.379156,-2.953366,3.7,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18309,17986,53.379244,-2.950843,3.7,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18308,5802,53.379401,-1.479645,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_18307,5801,53.379551,-1.479467,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_18306,17985,53.379676,-2.953586,3.7,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18304,7273,53.380537,-2.26451,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18305,7273,53.380537,-2.26451,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18303,5800,53.386432,-1.461501,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_18302,17984,53.387124,-2.920681,3.7,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18299,25425,53.387145,-1.474057,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_18300,25425,53.387145,-1.474057,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_18301,25425,53.387145,-1.474057,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_18297,7272,53.387582,-2.601269,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18298,7272,53.387582,-2.601269,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18296,5799,53.387673,-0.344647,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_18295,5798,53.387939,-1.475336,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_18294,5797,53.389416,-1.486104,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_18293,11185,53.390853,-3.182448,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18291,7271,53.390856,-1.44991,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18292,7271,53.390856,-1.44991,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18289,25933,53.391232,-3.182109,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_18290,25933,53.391232,-3.182109,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
conn_18287,7270,53.395389,-3.016328,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18288,7270,53.395389,-3.016328,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18286,17983,53.395872,-2.980648,3.7,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18284,7269,53.396675,-2.595931,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18285,7269,53.396675,-2.595931,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18283,17982,53.39811,-2.96752,3.7,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18282,17981,53.398401,-2.9665,3.7,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18280,12121,53.399017,-2.200828,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18281,12121,53.399017,-2.200828,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18279,3962,53.399132,-2.95901,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_18278,3962,53.399132,-2.95901,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18277,5796,53.400371,-1.508333,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_18276,3961,53.406158,-2.891039,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_18275,3961,53.406158,-2.891039,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18273,12120,53.406871,-2.155209,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18274,12120,53.406871,-2.155209,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18272,11184,53.408157,-2.262008,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18270,1963,53.408704,-2.997981,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_18271,1963,53.408704,-2.997981,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_18269,5142,53.408882,-2.629443,22.0,Fast (8–49kW),Level 2 : Medium (Over 2kW),,
conn_18268,5142,53.408882,-2.629443,3.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18266,10691,53.409049,-2.925028,3.7,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18267,10691,53.409049,-2.925028,3.7,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18265,11183,53.409611,-2.16538,7.0,Slow (3–8kW),Level 2 : Medium (Over 2kW),,
conn_18263,25932,53.411476,-2.63299,50.0,Rapid (50–149kW),Level 3:  High (Over 40kW),,
